rxn,Ea
[O:0][H:1].[O:2][O:3][H:4]>>[O:0]([H:1])[H:4].[O:2][O:3],-2.079448
[H:4].[O:0]([O:1][H:3])[H:2]>>[H:2][H:4].[O:0][O:1][H:3],33.2628
[H:4].[O:0]([O:1][H:3])[H:2]>>[O:0]([H:2])[H:4].[O:1][H:3],19.9718
[O:0]([O:1][H:3])[H:2].[O:4]>>[H:2][O:4].[O:0][O:1][H:3],16.61048
[C:0]1([H:5])=[C:1]([H:6])[C:2]([H:7])([H:8])[C:3]([H:9])=[C:4]1[H:10].[C:11]1([H:16])[C:12]([H:17])=[C:13]([H:18])[C:14]([H:19])=[C:15]1[H:20]>>[C:0]1([H:5])([C:11]2([H:16])[C:12]([H:17])=[C:13]([H:18])[C:14]([H:19])=[C:15]2[H:20])[C:1]([H:6])[C:2]([H:7])([H:8])[C:3]([H:9])=[C:4]1[H:10],36.4008
[C:0]1([H:5])=[C:1]([H:6])[C:2]([H:7])([H:8])[C:3]([H:9])=[C:4]1[H:10].[C:11]1([H:16])[C:12]([H:17])=[C:13]([H:18])[C:14]([H:19])=[C:15]1[H:20]>>[C:0]1([H:5])[C:1]([H:6])([C:11]2([H:16])[C:12]([H:17])=[C:13]([H:18])[C:14]([H:19])=[C:15]2[H:20])[C:2]([H:7])([H:8])[C:3]([H:9])=[C:4]1[H:10],13.8072
[C:0]1([H:10])[C:1]([H:11])=[C:2]([H:12])[C:3]2([H:13])[C:4]1([H:14])[C:5]1([H:15])[C:6]([H:16])([H:17])[C:7]([H:18])=[C:8]([H:19])[C:9]21[H:20]>>[C:0]1([H:10])=[C:4]([H:14])[C:5]2([H:15])[C:6]([H:16])([H:17])[C:7]([H:18])=[C:8]([H:19])[C:9]2([H:20])[C:3]([H:13])[C:2]([H:12])=[C:1]1[H:11],121.7544
[C:0]1([H:10])[C:1]([H:11])=[C:2]([H:12])[C:3]([H:13])=[C:4]([H:14])[C:5]2([H:15])[C:6]([H:16])([H:17])[C:7]([H:18])=[C:8]([H:19])[C:9]12[H:20]>>[C:0]1([H:10])=[C:9]([H:20])[C:8]([H:19])=[C:7]([H:18])[C:6]([H:16])([H:17])[C:5]([H:15])[C:4]([H:14])=[C:3]([H:13])[C:2]([H:12])=[C:1]1[H:11],152.2976
[C:0]1([H:10])[C:1]([H:11])=[C:2]([H:12])[C:3]([H:13])=[C:4]([H:14])[C:5]([H:15])=[C:6]([H:16])[C:7]([H:17])=[C:8]([H:18])[C:9]1([H:19])[H:20]>>[C:0]12([H:10])[C:1]([H:11])=[C:2]([H:12])[C:3]([H:13])=[C:4]([H:14])[C:5]1([H:15])[C:6]([H:16])[C:7]([H:17])=[C:8]([H:18])[C:9]2([H:19])[H:20],25.9408
[C:0]1([H:10])[C:1]([H:11])([H:12])[C:2]([H:13])=[C:3]([H:14])[C:4]1([C:5]1([H:16])[C:6]([H:17])=[C:7]([H:18])[C:8]([H:19])=[C:9]1[H:20])[H:15]>>[C:0]12([H:10])[C:1]([H:11])([H:12])[C:2]([H:13])=[C:3]([H:14])[C:4]1([H:15])[C:5]1([H:16])[C:6]([H:17])=[C:7]([H:18])[C:8]([H:19])[C:9]21[H:20],35.564
[C:0]1([H:10])=[C:1]([H:11])[C:2]([H:12])([H:13])[C:3]2([H:14])[C:4]([H:15])=[C:5]([H:16])[C:6]([H:17])=[C:7]([H:18])[C:8]2=[C:9]1[H:19].[H:20]>>[C:0]1([H:10])=[C:1]([H:11])[C:2]([H:12])([H:13])[C:3]2([H:14])[C:4]([H:15])=[C:5]([H:16])[C:6]([H:17])=[C:7]([H:18])[C:8]2([H:20])[C:9]1[H:19],12.1336
[C:0]1([H:10])[C:1]([H:11])=[C:2]([H:12])[C:3]([H:13])([H:14])[C:4]2([H:15])[C:5]([H:16])=[C:6]([H:17])[C:7]([H:18])=[C:8]([H:19])[C:9]12[H:20]>>[C:0]1([H:10])[C:1]([H:11])=[C:2]([H:12])[C:3]([H:14])=[C:4]([H:15])[C:9]1([C:8](=[C:7]([C:6](=[C:5]([H:13])[H:16])[H:17])[H:18])[H:19])[H:20],102.508
[C:0]1([H:10])[C:1]([H:11])=[C:2]([H:12])[C:3]([H:13])([H:14])[C:4]2([H:15])[C:5]([H:16])=[C:6]([H:17])[C:7]([H:18])=[C:8]([H:19])[C:9]12[H:20]>>[C:0]1([H:10])([H:20])[C:1]([H:11])=[C:2]([H:12])[C:3]([H:13])([H:14])[C:4]2([H:15])[C:5]([H:16])=[C:6]([H:17])[C:7]([H:18])=[C:8]([H:19])[C:9]12,133.4696
[C:0](=[C:1]([C:2](=[C:3]([C:4]1([H:15])[C:5]([H:16])[C:6]([H:17])=[C:7]([H:18])[C:8]([H:19])=[C:9]1[H:20])[H:14])[H:13])[H:12])([H:10])[H:11]>>[C:0](=[C:1]([C:2](=[C:3][H:14])[H:13])[H:12])([H:10])[H:11].[c:4]1([H:15])[c:5]([H:16])[c:6]([H:17])[c:7]([H:18])[c:8]([H:19])[c:9]1[H:20],95.8136
[C:0](=[C:1]([C:2](=[C:3]([c:4]1[c:5]([H:15])[c:6]([H:16])[c:7]([H:17])[c:8]([H:18])[c:9]1[H:19])[H:14])[H:13])[H:12])([H:10])[H:11].[H:20]>>[C:0](=[C:1]([C:2](=[C:3]([C:4]1([H:20])[C:5]([H:15])[C:6]([H:16])=[C:7]([H:17])[C:8]([H:18])=[C:9]1[H:19])[H:14])[H:13])[H:12])([H:10])[H:11],24.6856
[C:0](=[C:1]([C:2](=[C:3]([c:4]1[c:5]([H:15])[c:6]([H:16])[c:7]([H:17])[c:8]([H:18])[c:9]1[H:19])[H:14])[H:13])[H:12])([H:10])[H:11].[H:20]>>[C:0]([C:1]([C:2](=[C:3]([c:4]1[c:5]([H:15])[c:6]([H:16])[c:7]([H:17])[c:8]([H:18])[c:9]1[H:19])[H:14])[H:13])[H:12])([H:10])([H:11])[H:20],6.6944
[C:0](=[C:1]([C:2](=[C:3]([c:4]1[c:5]([H:15])[c:6]([H:16])[c:7]([H:17])[c:8]([H:18])[c:9]1[H:19])[H:14])[H:13])[H:12])([H:10])[H:11].[H:20]>>[C:0](=[C:1]([C:2]([C:3]([c:4]1[c:5]([H:15])[c:6]([H:16])[c:7]([H:17])[c:8]([H:18])[c:9]1[H:19])[H:14])([H:13])[H:20])[H:12])([H:10])[H:11],12.301
[C:0](=[C:1]([C:2](=[C:3]([c:4]1[c:5]([H:15])[c:6]([H:16])[c:7]([H:17])[c:8]([H:18])[c:9]1[H:19])[H:14])[H:13])[H:12])([H:10])[H:11].[H:20]>>[C:0](=[C:1]([C:2]([C:3]([c:4]1[c:5]([H:15])[c:6]([H:16])[c:7]([H:17])[c:8]([H:18])[c:9]1[H:19])([H:14])[H:20])[H:13])[H:12])([H:10])[H:11],12.7612
[C:1]1([H:3])=[C:4]([H:5])[C:6]([H:7])=[C:8]([H:9])[C:10]1([C:12]1([H:14])[C:15]([H:16])[C:17]([H:18])=[C:19]([H:20])[C:21]1([H:23])[H:24])[H:25]>>[C:1]1([H:3])[C:4]([H:5])=[C:6]([H:7])[C:8]2([H:9])[C:10]1([H:25])[C:15]1([H:16])[C:12]2([H:14])[C:21]([H:23])([H:24])[C:19]([H:20])=[C:17]1[H:18],64.4336
[C:0]1([H:10])[C:1]([H:11])=[C:2]([H:12])[C:3]([H:13])([H:14])[C:4]1([C:5]1([H:16])[C:6]([H:17])=[C:7]([H:18])[C:8]([H:19])=[C:9]1[H:20])[H:15]>>[C:0]([C:1](=[C:2]([C:3]([H:13])[H:14])[H:12])[H:11])(=[C:4]([C:5]1([H:16])[C:6]([H:17])=[C:7]([H:18])[C:8]([H:19])=[C:9]1[H:20])[H:15])[H:10],192.8824
