,err,model_unc,data_unc,unc,g,pred,index
[C:1](=[C:2]=[O:3])([H:5])[H:6].[H:4][C:7]([C:8](=[O:9])[H:10])([H:11])[H:12]>>[C:1](=[C:2]([O:3])[H:4])([H:5])[H:6].[C:7](=[C:8]([O:9])[H:10])([H:11])[H:12],31.69125562344957,2.7902339608933393,6.570089337325068,7.138030502663538,94.97482985400711,63.28357423055754,33.0
[C:1](=[C:2]([O:3])[H:4])([H:5])[H:6].[C:7](=[O:8])([H:9])[H:10]>>[C:1]([C:2](=[O:3])[H:4])([H:5])([H:6])[H:9].[C:7](=[O:8])[H:10],27.39958499714256,1.271682895897858,3.978588253188785,4.176881836505666,34.55778523691697,61.95737023405953,34.0
[C:1]([C:2](=[O:3])[H:4])([H:5])([H:6])[H:9].[C:7](=[O:8])[H:10]>>[C:1](=[C:2]([O:3])[H:4])([H:5])[H:6].[C:7](=[O:8])([H:9])[H:10],7.8566607985503225,2.6950176247261384,4.397537856853048,5.157660244727276,43.72918780319742,51.58584860174774,35.0
[C:1](=[C:2]([O:3])[H:6])([H:4])[H:5].[C:7]([C:8]([O:9])=[O:10])([H:11])([H:12])[H:13]>>[C:1](=[C:2]=[O:3])([H:4])[H:5].[H:6][O:9][C:8]([C:7]([H:11])([H:12])[H:13])=[O:10],60.37434662764552,0.9059771114212163,2.6840534287033315,2.8328320342994644,3.1659549442701973,63.54030157191572,36.0
[C:1](=[C:2]=[O:3])([H:4])[H:5].[H:6][O:9][C:8]([C:7]([H:11])([H:12])[H:13])=[O:10]>>[C:1](=[C:2]([O:3])[H:6])([H:4])[H:5].[C:7]([C:8]([O:9])=[O:10])([H:11])([H:12])[H:13],12.419820651312001,1.2372012270600452,4.246807783377117,4.423352034960743,72.19100430657272,59.77118365526072,37.0
[C:1](=[C:2]([O:3])[H:6])([H:4])[H:5].[C:7]([C:8]([O:9])([H:13])[H:14])([H:10])([H:11])[H:12]>>[C:1](=[C:2]([O:3][H:13])[H:6])([H:4])[H:5].[C:7]([C:8](=[O:9])[H:14])([H:10])([H:11])[H:12],0.8586008860226926,3.072452231673207,2.8277057358686024,4.175629586610606,59.465635555330664,60.32423644135336,38.0
[C:1](=[C:2]([O:3][H:13])[H:6])([H:4])[H:5].[C:7]([C:8](=[O:9])[H:14])([H:10])([H:11])[H:12]>>[C:1](=[C:2]([O:3])[H:6])([H:4])[H:5].[C:7]([C:8]([O:9])([H:13])[H:14])([H:10])([H:11])[H:12],57.514393403654935,1.610547476798405,5.541397687919469,5.77069766238892,120.42676851333817,62.91237510968324,39.0
[C:1]([C:2]([O:3])([H:4])[H:5])([H:6])([H:7])[H:8].[C:9](=[C:10]([O:11])[H:12])([H:13])[H:14]>>[C:1]([C:2](=[O:3])[H:5])([H:6])([H:7])[H:8].[H:4][C:9]([C:10](=[O:11])[H:12])([H:13])[H:14],4.020819723540569,3.113079590817754,3.045688073599663,4.355167089840901,44.51223159773508,48.53305132127565,40.0
[C:1]([C:2](=[O:3])[H:5])([H:6])([H:7])[H:8].[H:4][C:9]([C:10](=[O:11])[H:12])([H:13])[H:14]>>[C:1]([C:2]([O:3])([H:4])[H:5])([H:6])([H:7])[H:8].[C:9](=[C:10]([O:11])[H:12])([H:13])[H:14],53.27293174757804,2.0238613080763748,4.295316964004531,4.748237822139253,117.82941876072437,64.55648701314632,41.0
[C:1](=[C:2]([O:3])[H:6])([H:4])[H:5].[C:7]([O:8][C:9]([C:10]([H:15])([H:16])[H:17])[O:11][H:18])([H:12])([H:13])[H:14]>>[C:1](=[C:2]([O:3][H:18])[H:6])([H:4])[H:5].[C:7]([O:8][C:9]([C:10]([H:15])([H:16])[H:17])=[O:11])([H:12])([H:13])[H:14],17.607134885327817,1.7265545318439968,3.4118379200040696,3.8238238118156986,49.69962635461707,32.09249146928925,42.0
[C:1](=[C:2]([O:3][H:18])[H:6])([H:4])[H:5].[C:7]([O:8][C:9]([C:10]([H:15])([H:16])[H:17])=[O:11])([H:12])([H:13])[H:14]>>[C:1](=[C:2]([O:3])[H:6])([H:4])[H:5].[C:7]([O:8][C:9]([C:10]([H:15])([H:16])[H:17])[O:11][H:18])([H:12])([H:13])[H:14],62.9614234384264,1.2113345240022027,3.6523403532353598,3.8479762713549883,120.43658645253163,57.47516301410523,43.0
[C:1](=[C:2]([O:3])[H:4])([H:5])[H:6].[C:7]([O:8][C:9]([C:10]([H:11])([H:12])[H:13])[O:14][H:15])([H:16])([H:17])[H:18]>>[C:1]([C:2](=[O:3])[H:4])([H:5])([H:6])[H:15].[C:7]([O:8][C:9]([C:10]([H:11])([H:12])[H:13])=[O:14])([H:16])([H:17])[H:18],19.413156232125473,1.342418713252851,3.7015050481491985,3.9374138242208474,51.55749523907434,32.14433900694887,44.0
[C:1]([C:2](=[O:3])[H:4])([H:5])([H:6])[H:15].[C:7]([O:8][C:9]([C:10]([H:11])([H:12])[H:13])=[O:14])([H:16])([H:17])[H:18]>>[C:1](=[C:2]([O:3])[H:4])([H:5])[H:6].[C:7]([O:8][C:9]([C:10]([H:11])([H:12])[H:13])[O:14][H:15])([H:16])([H:17])[H:18],68.34048605871394,1.510345150451503,2.61695207619436,3.021519591627753,135.61950826185057,67.27902220313663,45.0
[C:1](=[C:2]([O:3])[H:6])([H:4])[H:5].[C:7]([C:8]=[O:9])([H:10])([H:11])[H:12]>>[C:1](=[C:2]([O:3][H:10])[H:6])([H:4])[H:5].[C:7](=[C:8]=[O:9])([H:11])[H:12],8.146988618765462,1.6725890544582966,3.961477262973688,4.300099562818424,59.147042097640224,51.00005347887476,46.0
